snapshot_date,name,ticker,market_cap_m,revenue_m,revenue_forward_m,ps,ev_sales,gross_margin,revenue_growth_forward,ebitda_margin_forward,quant_score,final_score
2026-08-26,Arcure,ALCUR,15.0,12.627,15.0,1.1879306248515087,1.5625247485546843,0.56,0.1879306248515087,0.16,68.88964735430879,66.11171788344703
2026-08-26,KebNi,KEBNI.B,26.01,8.85,11.66,2.9389830508474577,3.0123163841807914,0.4784,0.31751412429378534,0.05428816466552316,58.50619430096192,59.30495544076954
2026-08-26,Drone Volt,ALDRV,30.0,8.7,12.0,3.4482758620689657,2.8045977011494254,0.44,0.3793103448275863,-0.16666666666666666,53.88234811165846,53.60587848932677
